flag,deal_date,pk_class,sys,boss_id,geek_id,job_id,page,rank,list_time,deal_type,deal_time,app_active,chat,chat_read,detail_boss,list_boss,list_notify,msg_return,boss_days,job_days,geek_days
0,2015-12-27,bdp_java,Android,245485,4331893,72288,2,17,2015-12-27 18:55:41,det,2015-12-27 18:57:17,25,2,102,60,21,5,10,145.0,143.0,5.0
0,2015-12-27,bdp_java,Android,245485,43388,72288,2,18,2015-12-27 18:55:41,det,2015-12-27 18:56:11,3,0,2,3,3,0,0,145.0,143.0,277.0
0,2015-12-27,bdp_java,Android,245485,4453713,72288,1,10,2015-12-27 18:53:29,addf,2015-12-27 18:56:11,2,0,0,1,5,0,0,145.0,143.0,0.0
0,2015-12-27,bdp_java,Android,245485,4453713,72288,1,10,2015-12-27 18:53:29,det,2015-12-27 18:55:59,2,0,0,1,5,0,0,145.0,143.0,0.0
0,2015-12-27,bdp_java,Android,245485,47165,72288,1,4,2015-12-27 18:53:29,addf,2015-12-27 18:55:26,32,10,39,15,40,6,0,145.0,143.0,273.0
0,2015-12-27,bdp_java,Android,245485,47165,72288,1,4,2015-12-27 18:53:29,chat,2015-12-27 20:12:58,33,12,46,16,41,7,0,145.0,143.0,273.0
0,2015-12-27,bdp_java,Android,245485,47165,72288,1,4,2015-12-27 18:53:29,det,2015-12-27 18:55:12,32,10,39,15,40,6,0,145.0,143.0,273.0
0,2015-12-27,bdp_java,Android,263535,4437386,304611,1,1,2015-12-27 20:03:00,det,2015-12-27 20:04:18,5,0,16,80,36,9,1,142.0,8.0,0.0
0,2015-12-27,bdp_java,Android,266335,125121,258565,2,22,2015-12-27 13:15:15,det,2015-12-27 13:16:40,7,0,2,8,8,17,0,140.0,30.0,183.0
0,2015-12-27,bdp_java,Android,266335,1603237,258565,1,1,2015-12-27 13:15:24,det,2015-12-27 13:15:29,12,0,4,3,10,1,0,140.0,30.0,74.0
0,2015-12-27,bdp_java,Android,266335,1610382,258565,1,6,2015-12-27 13:15:24,det,2015-12-27 13:14:38,2,0,1,13,7,5,2,140.0,30.0,73.0
